#Shadow Warrior voxel script file.  
#Last modified: 11-25-96

#Format: (editart tile number) (unique voxel number) (voxel file name)
#Note: do NOT use duplicate voxel numbers or you'll over write the
#      previous one loaded!

#TILE VOXNUM FILENAME
#=====================
1802 0 medpak.kvx
1803 1 medkit.kvx
1797 2 uzi.kvx
1817 3 grenade.kvx
764 4 gunbarl.kvx
765 5 camera.kvx
1831 6 40mmbox.kvx
1842 7 mines.kvx
1794 8 shotgun.kvx
1818 9 rocket.kvx
1823 10 shtgammo.kvx
1800 11 rcktammo.kvx
1813 12 tools.KVX
1799 13 uziclip.kvx
3031 14 nitevis.kvx
1811 15 railgun.kvx
1812 16 railpak.kvx
3030 17 armor.kvx
1793 18 star.kvx
1819 19 heat.kvx
1792 20 coin.kvx
1824 21 heart.kvx
1825 22 heart2.kvx
1807 23 uziside.kvx
1809 24 bomb.kvx
1808 25 smoke.kvx
1805 26 flash.kvx
1814 27 gorohead.kvx
1804 28 shadow.kvx
1829 29 caltrop.kvx
1810 30 cookie.kvx
1766 31 techkey.kvx
1765 32 oldkey.kvx
2520 33 flag1.kvx
2521 34 flag2.kvx
2522 35 flag3.kvx
1767 36 keycard.kvx
1846 37 oldlock.kvx
1847 38 oldlock2.kvx
1850 39 kcrdlck1.kvx
1851 40 kcrdlck2.kvx
1852 41 tchklck1.kvx
1853 42 tchklck2.kvx
1854 43 tchklck3.kvx
1769 44 oldkey.kvx
1773 45 oldkey.kvx
1777 46 oldkey.kvx
1770 47 techkey.kvx
1774 48 techkey.kvx
1778 49 techkey.kvx
1771 50 keycard.kvx
1775 51 keycard.kvx
1779 52 keycard.kvx
817  53 mine.kvx
818  54 mine2.kvx
819  55 mine3.kvx
567  56 button1a.kvx
568  57 button1b.kvx
583  58 switch1a.kvx
584  59 switch1b.kvx
571  60 switch2a.kvx
572  61 switch2b.kvx
563  62 switch3a.kvx
564  63 switch3b.kvx
573  64 switch4a.kvx
574  65 switch4b.kvx
565  66 switch5a.kvx
566  67 switch5b.kvx

#CUSTOM VOXELS

0766 68 0766.kvx
0505 69 0505.kvx
0506 70 0506.kvx
2737 71 2737.kvx
0061 72 0061x.kvx #Unfinished voxel
0069 73 0069.kvx
0081 74 0081.kvx
0084 75 0084.kvx
3524 76 3524.kvx
3356 77 3356.kvx
3354 78 3354.kvx
0401 79 0401.kvx
0442 80 0442.kvx
0549 81 0549.kvx
0647 82 0647.kvx
0643 83 0643.kvx
0613 84 0613.kvx
0644 85 0644.kvx
0684 86 0684.kvx
2781 87 2781.kvx
4886 88 4886.kvx
0402 89 0402.kvx
0468 90 0468.kvx
2738 91 2738.kvx
0415 92 0415.kvx
0416 93 0416.kvx
0417 94 0417.kvx
0551 95 0551.kvx
0552 96 0552.kvx
3508 97 3508.kvx
0443 98 0443x.kvx #Disabled
0444 99 0444x.kvx #Disabled
0445 100 0445x.kvx #Disabled
0446 101 0446x.kvx #Disabled
0510 102 0510.kvx
3450 103 3450.kvx
0507 104 0507.kvx
3509 105 3509.kvx
0508 106 0508.kvx
0590 107 0590.kvx
0509 108 0509.kvx
0685 109 0685.kvx
0678 110 0678.kvx
0686 111 0686.kvx
0496 112 0496.kvx
0511 113 0511.kvx
